phrase,freq,sentiment
year old,1082,positive
movie like,896,positive
new york,854,positive
main character,843,positive
good movie,837,positive
special effect,834,positive
great movie,803,positive
film like,793,positive
look like,781,positive
year ago,772,positive
real life,764,positive
movie seen,667,positive
watch movie,663,positive
great film,656,positive
horror film,646,positive
sci fi,623,positive
year later,608,positive
low budget,601,positive
love story,597,positive
pretty good,590,positive
look like,2242,negative
special effect,1491,negative
waste time,1468,negative
bad movie,1298,negative
year old,1286,negative
low budget,1241,negative
movie like,1231,negative
worst movie,1157,negative
movie seen,1104,negative
main character,1084,negative
horror movie,1080,negative
good movie,900,negative
movie bad,877,negative
make movie,864,negative
watch movie,858,negative
make sense,836,negative
horror film,826,negative
bad guy,803,negative
sci fi,770,negative
film like,745,negative
